Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2019,"Ross Stripling","LAD",29.1,117,1.6,0.1875,0.5,0.3125,0.16,0.16,0,1,0.4938,0.2593,0.2469,0.2346,0.3951,0.3704,13273
2019,"Steven Matz","NYM",22.1,96,1.086956521,0.2,0.416666666,0.383333333,0.086956521,0.217391304,0.08,0,0.3871,0.3387,0.2742,0.1613,0.371,0.4677,13361
2019,"Marcus Stroman","TOR",30.2,127,2.238095238,0.19047619,0.559523809,0.25,0.095238095,0,0.042553191,0.5,0.5116,0.2674,0.2209,0.1512,0.4651,0.3837,13431
2019,"Blake Snell","TBR",28.1,104,1.181818181,0.186440677,0.440677966,0.372881355,0.181818181,0.227272727,0.115384615,0,0.4068,0.2712,0.322,0.2881,0.4746,0.2373,13543
2019,"Jakob Junis","KCR",32.1,143,1.923076923,0.232323232,0.505050505,0.262626262,0,0.192307692,0.06,0,0.4848,0.3131,0.202,0.1313,0.4949,0.3737,13619
2019,"Max Fried","ATL",24.1,97,1.95,0.169014084,0.549295774,0.28169014,0.1,0.05,0.025641025,0.5,0.3151,0.3699,0.3151,0.1233,0.5616,0.3151,13743
2019,"Chris Stratton","LAA",23,111,1.52173913,0.265822784,0.443037974,0.29113924,0.086956521,0.173913043,0.028571428,1,0.425,0.325,0.25,0.175,0.4875,0.3375,13761
2019,"Zach Eflin","PHI",26,112,1,0.185185185,0.407407407,0.407407407,0.03030303,0.181818181,0.09090909,0.333333333,0.3929,0.3095,0.2976,0.131,0.5833,0.2857,13774
2019,"Matt Strahm","SDP",20.2,85,0.793103448,0.212121212,0.348484848,0.439393939,0.103448275,0.068965517,0.130434782,0,0.3788,0.3939,0.2273,0.1212,0.3485,0.5303,13799
2019,"Michael Wacha","STL",21.1,96,1.238095238,0.189655172,0.448275862,0.362068965,0.095238095,0.238095238,0,0,0.5345,0.2759,0.1897,0.1379,0.5,0.3621,14078
2019,"Kevin Gausman","ATL",25,98,0.916666666,0.206896551,0.379310344,0.413793103,0.125,0.166666666,0.045454545,0.25,0.4355,0.2903,0.2742,0.1774,0.4355,0.3871,14107
