Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2018,"Jason Vargas","NYM",92,404,8.2174,2.9348,2.8,1.7609,0.2079,0.0743,0.1337,0.276243093,1.413,0.3071,0.6831,5.019748069755127,4.415122315546741,8044
2018,"Yovani Gallardo","TEX",92,403,5.4783,4.2065,1.3023,1.2717,0.139,0.1067,0.0323,0.278873239,1.5435,0.2976,0.6677,5.248008938755127,5.170381544012091,8173
2018,"Brett Anderson","OAK",80.1,333,5.2656,1.4564,3.6154,1.1203,0.1411,0.039,0.1021,0.284810126,1.2822,0.3065,0.6923,4.169351590755127,3.9080228083134587,8223
2018,"Homer Bailey","CIN",106.1,494,6.348,2.7931,2.2727,1.9467,0.1518,0.0668,0.085,0.31263858,1.6364,0.3269,0.6537,5.5497678997551265,4.648344329777139,8362
2018,"Justin Verlander","HOU",214,833,12.1963,1.5561,7.8378,1.1776,0.3481,0.0444,0.3037,0.199743918,0.9019,0.2723,0.8529,2.782547745755127,3.0342235384282668,8700
2018,"Tanner Roark","WSN",180,757,7.3,2.5,2.92,1.15,0.1929,0.0661,0.1268,0.260553129,1.2722,0.2955,0.7302,4.199941305755127,4.410660640067524,8753
2018,"Wade Miley","MIL",80.2,338,5.5785,3.0124,1.8519,0.3347,0.1479,0.0799,0.068,0.236666666,1.2149,0.2688,0.7591,3.594936535755127,4.298990075932409,8779
2018,"Andrew Cashner","BAL",153,681,5.8235,3.8235,1.5231,1.4706,0.1454,0.0954,0.0499,0.290640394,1.5817,0.3108,0.7048,5.3244511097551275,5.186524169741114,8782
2018,"Nathan Eovaldi","2 Tms",107.1,440,8.1335,1.5093,5.3889,1.1739,0.2205,0.0409,0.1795,0.246376811,1.118,0.2857,0.677,3.636207844755127,3.648592406660572,9132
2018,"Patrick Corbin","ARI",200,800,11.07,2.16,5.125,0.675,0.3075,0.06,0.2475,0.21832884,1.05,0.3025,0.7474,2.471052417755127,2.610892608985305,9323
2018,"Dallas Keuchel","HOU",204.2,874,6.728,2.5505,2.6379,0.7915,0.1751,0.0664,0.1087,0.263092269,1.3143,0.3002,0.7282,3.688739627755127,3.8365820261330663,9434
2018,"Dan Straily","MIA",122.1,518,7.2834,3.8256,1.9038,1.4714,0.1911,0.1004,0.0907,0.236725663,1.2997,0.2559,0.7536,5.114731423755127,4.9875300368627595,9460
2018,"Miles Mikolas","STL",200.2,808,6.5482,1.3007,5.0345,0.7176,0.1807,0.0359,0.1448,0.244736842,1.0714,0.2787,0.7615,3.2806537267551272,3.6680095360739577,9803
2018,"Mike Minor","TEX",157,640,7.5669,2.1783,3.4737,1.4331,0.2063,0.0594,0.1469,0.235093696,1.121,0.2586,0.7248,4.4285683407551275,4.525591973248561,10021
