"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Tyler Flowers","Braves",".342","1.27","24.5 %","42.2 %","33.3 %","5.1 %","15.2 %","7","7.0 %","0","0.0 %","43.9 %","28.3 %","27.9 %","18.1 %","44.7 %","37.1 %","9134"
"Salvador Perez","Royals",".280","0.71","19.7 %","33.3 %","47.0 %","10.6 %","15.1 %","3","2.4 %","0","0.0 %","53.0 %","29.7 %","17.3 %","16.5 %","45.4 %","38.1 %","7304"
"Manny Machado","Padres",".265","1.00","15.8 %","42.1 %","42.1 %","13.2 %","15.1 %","19","8.7 %","2","50.0 %","41.6 %","33.6 %","24.8 %","18.5 %","42.0 %","39.5 %","11493"
"Ryon Healy","Mariners",".319","1.12","19.1 %","42.8 %","38.2 %","7.2 %","15.1 %","17","9.1 %","1","100.0 %","41.1 %","36.0 %","22.9 %","16.5 %","49.5 %","33.9 %","15447"
"Austin Hedges","Padres",".260","0.80","17.7 %","36.6 %","45.7 %","15.7 %","14.9 %","7","7.2 %","2","50.0 %","39.0 %","34.9 %","26.0 %","22.3 %","44.6 %","33.1 %","12976"
"Caleb Joseph","Diamondbacks",".328","1.56","24.2 %","46.2 %","29.7 %","7.4 %","14.8 %","4","4.8 %","0","0.0 %","36.6 %","38.3 %","25.1 %","21.3 %","50.3 %","28.4 %","7087"
"Brian McCann","Braves",".237","1.00","17.0 %","41.5 %","41.5 %","13.1 %","14.8 %","4","3.3 %","2","100.0 %","46.3 %","33.1 %","20.6 %","19.3 %","51.4 %","29.4 %","4810"
"Robinson Cano","Mets",".294","1.63","19.4 %","50.0 %","30.6 %","4.5 %","14.7 %","5","2.0 %","0","0.0 %","39.4 %","35.7 %","24.9 %","12.8 %","50.4 %","36.9 %","3269"
"Dexter Fowler","Cardinals",".305","1.03","22.4 %","39.4 %","38.2 %","4.1 %","14.6 %","6","4.7 %","0","0.0 %","40.3 %","37.5 %","22.3 %","12.7 %","49.2 %","38.1 %","4062"
"Jose Altuve","Astros",".370","1.44","20.3 %","47.0 %","32.7 %","9.1 %","14.6 %","30","12.7 %","6","75.0 %","40.8 %","32.9 %","26.3 %","19.0 %","52.8 %","28.2 %","5417"
"C.J. Cron","Twins",".296","0.73","22.8 %","32.5 %","44.7 %","14.5 %","14.5 %","2","2.5 %","0","0.0 %","47.2 %","30.9 %","22.0 %","20.3 %","43.9 %","35.8 %","12546"
"Jackie Bradley Jr.","Red Sox",".294","1.50","18.4 %","49.0 %","32.6 %","8.5 %","14.5 %","13","7.4 %","0","0.0 %","41.9 %","33.6 %","24.4 %","17.5 %","49.2 %","33.3 %","12984"
"Tim Anderson","White Sox",".328","1.88","19.2 %","52.7 %","28.0 %","4.2 %","14.4 %","23","10.4 %","1","14.3 %","42.8 %","35.1 %","22.2 %","21.3 %","50.5 %","28.3 %","15172"
"Nicholas Castellanos","Tigers",".313","0.98","24.5 %","37.3 %","38.2 %","1.6 %","14.3 %","12","6.7 %","0","0.0 %","38.6 %","34.8 %","26.6 %","11.5 %","45.1 %","43.4 %","11737"
"James McCann","White Sox",".300","1.10","28.2 %","37.6 %","34.2 %","8.8 %","14.3 %","6","6.0 %","0","0.0 %","43.8 %","27.7 %","28.5 %","15.7 %","46.1 %","38.2 %","12859"
"Byron Buxton","Twins",".339","1.02","23.2 %","38.7 %","38.0 %","17.7 %","14.2 %","16","13.9 %","11","50.0 %","47.3 %","32.9 %","19.8 %","18.2 %","54.2 %","27.6 %","14161"
"David Freese","Dodgers",".336","2.52","20.4 %","57.0 %","22.6 %","4.2 %","14.1 %","16","8.9 %","0","0.0 %","25.8 %","43.3 %","30.9 %","19.4 %","48.7 %","31.9 %","9549"
"Jose Ramirez","Indians",".319","0.98","21.4 %","38.9 %","39.7 %","9.7 %","14.1 %","11","5.4 %","0","0.0 %","46.3 %","32.1 %","21.7 %","16.7 %","49.3 %","34.0 %","13510"
"Brandon Belt","Giants",".284","0.63","23.4 %","29.7 %","46.9 %","11.7 %","14.1 %","3","3.7 %","3","50.0 %","39.4 %","37.6 %","22.9 %","14.0 %","47.7 %","38.4 %","10264"
"Francisco Lindor","Indians",".275","0.92","18.3 %","39.2 %","42.4 %","6.8 %","14.0 %","17","7.8 %","4","40.0 %","40.5 %","34.5 %","25.1 %","14.3 %","50.5 %","35.2 %","12916"
"Yan Gomes","Nationals",".283","0.97","17.4 %","40.7 %","41.9 %","11.9 %","13.9 %","6","6.1 %","1","33.3 %","43.9 %","32.4 %","23.8 %","21.7 %","49.2 %","29.1 %","9627"
"Matt Chapman","Athletics",".290","0.66","16.0 %","33.5 %","50.5 %","16.8 %","13.9 %","3","4.5 %","0","0.0 %","34.5 %","38.5 %","27.0 %","20.0 %","44.0 %","36.0 %","16505"
"Steve Pearce","Red Sox",".281","1.07","21.4 %","40.7 %","37.9 %","10.6 %","13.8 %","9","8.9 %","0","0.0 %","42.3 %","34.7 %","23.0 %","19.4 %","46.0 %","34.7 %","9957"
"Mark Trumbo","Orioles",".278","1.07","16.1 %","43.3 %","40.6 %","15.0 %","13.8 %","16","9.0 %","0","0.0 %","38.7 %","39.9 %","21.4 %","20.9 %","48.7 %","30.4 %","6876"
"Wilmer Flores","Diamondbacks",".270","0.78","18.4 %","35.8 %","45.8 %","10.6 %","13.6 %","4","3.9 %","0","0.0 %","40.3 %","33.0 %","26.7 %","16.3 %","48.3 %","35.4 %","5827"
